JobID,FRICTION,BHF,THICKNESS,INITIAL_STRESS,SATURATION,GROWTH_RATE,POWER,MAX_STRESS,AVE_STRESS,VAR_STRESS,AVE_DIST
job153, 0.16666666666666666, 0.23, 2.0, 100, 130, 7.98, 0.84, 127.921112061, 29.1449487691, 535.550504784, 7.72620921665
job154, 0.16666666666666666, 0.34, 2.0, 100, 130, 7.98, 0.84, 127.872894287, 29.5444898099, 544.946651789, 7.58523835076
job155, 0.16666666666666666, 0.45, 2.0, 100, 130, 7.98, 0.84, 127.288078308, 29.811483528, 578.181512846, 7.46705775791
job156, 0.16666666666666666, 0.56, 2.0, 100, 130, 7.98, 0.84, 126.500213623, 29.909850806, 603.897873352, 7.35354868571
job157, 0.16666666666666666, 0.67, 2.0, 100, 130, 7.98, 0.84, 126.140136719, 29.2355159396, 608.292477589, 7.25634532505
job158, 0.16666666666666666, 0.78, 2.0, 100, 130, 7.98, 0.84, 126.167442322, 29.3088137551, 596.949443564, 7.16967455546
job159, 0.16666666666666666, 0.89, 2.0, 100, 130, 7.98, 0.84, 126.226875305, 29.3302507079, 578.7544184, 7.08531634013
job160, 0.16666666666666666, 1.0, 2.0, 100, 130, 7.98, 0.84, 126.648872375, 29.1866266, 570.728456647, 7.0024233924
job161, 0.2, 0.01, 2.0, 100, 130, 7.98, 0.84, 128.156494141, 30.9516398102, 540.198580524, 8.07441775004
job162, 0.2, 0.12, 2.0, 100, 130, 7.98, 0.84, 128.012817383, 29.7440923752, 532.511784729, 7.82626745436
job163, 0.2, 0.23, 2.0, 100, 130, 7.98, 0.84, 127.797386169, 29.7702236652, 516.655604683, 7.64373885261
job164, 0.2, 0.34, 2.0, 100, 130, 7.98, 0.84, 127.63067627, 30.3553988212, 547.455855842, 7.48965369331
job165, 0.2, 0.45, 2.0, 100, 130, 7.98, 0.84, 126.739196777, 29.8357955956, 575.805583611, 7.35207451714
job166, 0.2, 0.56, 2.0, 100, 130, 7.98, 0.84, 126.497741699, 29.6774499243, 585.819447629, 7.22132492065
job167, 0.2, 0.67, 2.0, 100, 130, 7.98, 0.84, 126.616752625, 29.712140649, 579.651520449, 7.10519282023
job168, 0.2, 0.78, 2.0, 100, 130, 7.98, 0.84, 126.774436951, 29.320824804, 578.683285213, 7.00031492445
job169, 0.2, 0.89, 2.0, 100, 130, 7.98, 0.84, 126.747009277, 29.0610556966, 546.724527254, 6.89474487305
job170, 0.2, 1.0, 2.0, 100, 130, 7.98, 0.84, 122.685661316, 28.627694571, 498.798164353, 6.77327071296
job171, 0.23333333333333334, 0.01, 2.0, 100, 130, 7.98, 0.84, 128.193862915, 31.3418685636, 515.703858199, 8.02150599162
job172, 0.23333333333333334, 0.12, 2.0, 100, 130, 7.98, 0.84, 127.78352356, 29.9979017377, 508.827156109, 7.75716972351
job173, 0.23333333333333334, 0.23, 2.0, 100, 130, 7.98, 0.84, 127.652267456, 30.1842791981, 527.895897428, 7.55665885078
job174, 0.23333333333333334, 0.34, 2.0, 100, 130, 7.98, 0.84, 126.938789368, 30.1602687705, 551.318692109, 7.38581021627
job175, 0.23333333333333334, 0.45, 2.0, 100, 130, 7.98, 0.84, 126.606559753, 30.0025784671, 571.465339204, 7.22419993083
job176, 0.23333333333333334, 0.56, 2.0, 100, 130, 7.98, 0.84, 127.818435669, 29.7684229596, 560.535857949, 7.0681576199
job177, 0.23333333333333334, 0.67, 2.0, 100, 130, 7.98, 0.84, 123.372367859, 29.1180625999, 499.582983193, 6.92092810737
job178, 0.23333333333333334, 0.78, 2.0, 100, 130, 7.98, 0.84, 129.966827393, 35.0895431656, 839.727032576, 2.25013520983
job179, 0.23333333333333334, 0.89, 2.0, 100, 130, 7.98, 0.84, 129.989746094, 38.2979610927, 932.930132916, 1.74635484484
job180, 0.23333333333333334, 1.0, 2.0, 100, 130, 7.98, 0.84, 129.989730835, 38.7956303093, 1161.88990274, 1.43190129598
job181, 0.26666666666666666, 0.01, 2.0, 100, 130, 7.98, 0.84, 128.240936279, 31.6292287055, 505.671849209, 7.96659639147
job182, 0.26666666666666666, 0.12, 2.0, 100, 130, 7.98, 0.84, 127.590438843, 29.9362540197, 492.83961267, 7.68140559726
job183, 0.26666666666666666, 0.23, 2.0, 100, 130, 7.98, 0.84, 127.226898193, 30.1375477284, 536.958320754, 7.46239704556
job184, 0.26666666666666666, 0.34, 2.0, 100, 130, 7.98, 0.84, 126.628944397, 30.0992764282, 565.269239295, 7.26618385315
job185, 0.26666666666666666, 0.45, 2.0, 100, 130, 7.98, 0.84, 127.792663574, 29.6747417021, 515.522732268, 7.07040405273
job186, 0.26666666666666666, 0.56, 2.0, 100, 130, 7.98, 0.84, 129.644088745, 36.4080693084, 808.040066176, 2.25070359972
job187, 0.26666666666666666, 0.67, 2.0, 100, 130, 7.98, 0.84, 129.989730835, 38.7461459237, 840.940649185, 1.72550243802
job188, 0.26666666666666666, 0.78, 2.0, 100, 130, 7.98, 0.84, 129.989730835, 40.3660293722, 1138.38932264, 1.42518615723
job189, 0.26666666666666666, 0.89, 2.0, 100, 130, 7.98, 0.84, 129.989730835, 41.3953374958, 1213.36056648, 1.22417322795
job190, 0.26666666666666666, 1.0, 2.0, 100, 130, 7.98, 0.84, 129.989730835, 43.6446810478, 1091.57102327, 1.05878618028
job191, 0.3, 0.01, 2.0, 100, 130, 7.98, 0.84, 128.419769287, 31.1619714975, 469.938864666, 7.9050418006
job192, 0.3, 0.12, 2.0, 100, 130, 7.98, 0.84, 127.757781982, 30.1134183747, 512.670206836, 7.60048887465
job193, 0.3, 0.23, 2.0, 100, 130, 7.98, 0.84, 127.430931091, 29.9137259889, 574.678878462, 7.35780461629
job194, 0.3, 0.34, 2.0, 100, 130, 7.98, 0.84, 129.298294067, 29.4595698941, 498.963321753, 7.11862097846
job195, 0.3, 0.45, 2.0, 100, 130, 7.98, 0.84, 129.989730835, 37.4756137156, 900.773857486, 2.04355451796
job196, 0.3, 0.56, 2.0, 100, 130, 7.98, 0.84, 129.986083984, 40.4916892481, 1085.12153651, 1.52829318576
job197, 0.3, 0.67, 2.0, 100, 130, 7.98, 0.84, 129.989730835, 38.1421858615, 769.950555137, 1.30323367649
job198, 0.3, 0.78, 2.0, 100, 130, 7.98, 0.84, 129.989730835, 42.9525351158, 894.326581279, 1.12274254693
job199, 0.3, 0.89, 2.0, 100, 130, 7.98, 0.84, 129.989746094, 44.4279814005, 1055.74262591, 0.979317559136
job200, 0.3, 1.0, 2.0, 100, 130, 7.98, 0.84, 129.989730835, 44.3768115664, 1099.47143879, 0.854618496365
job201, 0.0, 0.01, 2.5, 100, 130, 7.98, 0.84, 127.336524963, 31.6374957034, 653.779261042, 7.9086956448
